d [mm],f [GHz],pPDn [W/m2],pPDtot [W/m2],psPDn_1 [W/m2],psPDtot_1 [W/m2],psPDn_4 [W/m2],psPDtot_4 [W/m2],pDeltaT [°C],pDeltaT * 100 [°C]
2,10,105.05478668213,105.61368850795,31.77110829892,44.902125000936,11.038942293299,19.246780504355,0.312389502762431,31.2389502762431
5,10,29.04070854187,29.061921393137,18.015772727567,20.741649590024,8.379225996057,11.443541578169,0.0743509468540013,7.43509468540013
10,10,10.232571601868,10.23433360456,8.2700140955693,8.7314629831544,5.2360568044184,6.1441767554899,0.0207642149191446,2.07642149191446
50,10,0.49307304620743,0.49378320170084,0.48842921127849,0.48996731978942,0.47406976141734,0.4798323565748,0.00182895414734677,0.182895414734677
150,10,0.07323444634676,0.073234467548535,0.072404072160729,0.072411760448349,0.070097682367303,0.07012878030635,0.00023755938984753,0.023755938984753
2,30,204.736250322568,205.157653597594,37.2480861146943,55.1927492924571,10.9771445823897,20.1329202937378,0.249387694145759,24.9387694145759
5,30,45.9329513652737,45.9487638664113,21.5284787891047,25.6012787362967,8.57474255736346,12.2408262696057,0.102804965385534,10.2804965385534
10,30,12.3023136639821,12.3035181546437,9.30824909337841,9.94439157647183,5.47110880700987,6.56463455453287,0.0388149790588815,3.8814979058881502
50,30,0.510804785811973,0.510809440647971,0.497318745949665,0.499810345025856,0.479697321715886,0.485571713213701,0.00236270753512136,0.236270753512136
150,30,0.0857968720208635,0.0857971021888859,0.074883913192329,0.075013271983918,0.0591035554053382,0.0592887195695435,0.000263361735089107,0.0263361735089107
2,60,272.448593114077,272.484452062705,37.4168368064939,56.7530640788856,10.9410841622924,20.4064565351185,0.309410174490047,30.941017449004697
5,60,49.0515396815897,49.0527772057709,21.868532058001,26.2801983171451,8.5897164181209,12.3769429175557,0.129570965328012,12.957096532801199
10,60,12.410430141063,12.4105137734199,9.35475459505961,10.0150885425988,5.49449497663419,6.61243198231662,0.0483062674448109,4.830626744481091
50,60,0.553859293332416,0.553859418787527,0.480357142149138,0.481965982380919,0.468440029670589,0.47494286616452,0.00288341968911917,0.288341968911917
150,60,0.0585941769501963,0.0586859597979615,0.0542046253176897,0.0543726228060666,0.0636262337027328,0.063920364066063,0.000457388584831899,0.0457388584831899
2,10,107.80185354921,114.715376726171,32.0677255892471,47.9012823347225,10.7151478198576,19.7585066969351,0.644713339,64.4713339
5,10,29.8652717816101,30.0628074217688,18.3698494896267,21.3813423705776,8.2883350880291,11.60179142933,0.14855803489685,14.855803489684998
10,10,10.4343922072425,10.4508340124506,8.38216284733834,8.88922291943863,5.23198366182342,6.20733009570797,0.042363052368164,4.2363052368164
50,10,0.51095138260617,0.510983866809408,0.503757881756448,0.505456690862835,0.483317447022397,0.489608881017793,0.00428201556205749,0.428201556205749
150,10,0.0573675456241056,0.0573679502485597,0.0572741618107978,0.0572958014003228,0.0569960110335127,0.0570808508265984,0.000536851473152637,0.05368514731526371
2,30,199.2099,201.4186,36.52737,55.45116,10.75907,20.21564,0.510015,51.0015
5,30,45.62136,45.69644,21.32036,25.55146,8.446441,12.18351,0.171828,17.1828
10,30,12.44531,12.45036,9.318472,9.975786,5.414101,6.516968,0.067991,6.799099999999999
50,30,0.514605,0.514613,0.507201,0.508895,0.486313,0.492637,0.005352,0.5352
150,30,0.05728,0.05728,0.057184,0.057205,0.056907,0.056991,0.000593,0.0593
2,60,265.477874689972,266.157159545732,35.8634305510383,54.9880066995744,10.4935476975467,19.8117818280877,0.483113403320312,48.3113403320312
5,60,49.4420503725703,49.4620610471462,21.2578723168247,25.5511269988816,8.26608707830731,11.9197159487909,0.197040538787841,19.7040538787841
10,60,12.7018678912649,12.7031315615816,9.34167514948577,10.0005466851822,5.33737004911409,6.41687991110064,0.0812201131,8.122011310000001
50,60,0.513361226930399,0.513365918409883,0.505785650157732,0.507458823609073,0.484400229547433,0.490651157233248,0.00649181246757507,0.649181246757507
150,60,0.057081,0.057081,0.056983,0.057004,0.056697,0.056781,0.000792640242,0.07926402419999999
2,90,294.5898,295.0851,35.93718,55.73854,10.59109,20.17588,0.691175951,69.11759509999999
5,90,50.39124,50.40425,21.35733,25.78949,8.345037,12.09162,0.228323265,22.8323265
10,90,12.73762,12.73841,9.363923,10.03857,5.378193,6.480527,0.0946663313,9.46663313
50,90,0.51169,0.511691,0.504196,0.505892,0.483338,0.489624,0.00722104019,0.722104019
150,90,0.056887,0.056888,0.056782,0.056803,0.056506,0.05659,0.000876836409,0.0876836409
2,10,109.240869197897,110.250997443568,32.2910996712581,46.0748496532719,10.7363630864111,19.2584450481539,0.576041,57.6041
5,10,30.2138359422897,30.2538410213261,18.5023490543647,21.0726753824576,8.3230566935364,11.1314132418962,0.099902,9.9902
10,10,10.5313370563492,10.5413383261083,8.45007281947717,8.90113008561331,5.26766878212644,6.11177594979583,0.025221,2.5221
50,10,0.514665341804113,0.514665341804113,0.507664452972732,0.509264656134191,0.487061837268953,0.493262624519605,0.002677,0.2677
150,10,0.05779,0.05779,0.05771,0.05773,0.05745,0.05753,0.000324,0.0324
2,30,217.431333874491,217.846279168145,37.2413401054114,56.1835927606987,10.9441821201139,20.5397920358536,0.496562,49.6562
5,30,47.4282470646075,47.4489943292902,21.8572433432039,25.612498250769,8.63397419769747,11.8363145014692,0.173466,17.346600000000002
10,30,12.7284468828245,12.7284468828245,9.5375175746282,10.1547486989379,5.54159439674395,6.525014742703,0.067329,6.7329
50,30,0.524179642207922,0.524179642207922,0.515880736334849,0.517540517509464,0.494925999005342,0.50125391473356,0.005156,0.5156
150,30,0.0582839377471045,0.0582930384410308,0.0581430371871599,0.0581645083593626,0.0578537364285118,0.0579385735611469,0.000629,0.0629
2,60,282.885153103551,282.988888033182,37.520924047508,57.6455003959087,10.9959025408788,20.8507208558173,0.50883,50.883
5,60,50.9649709276767,50.9649709276767,22.157780969167,26.0893348021793,8.66497867207172,11.908769921631,0.201849,20.1849
10,60,13.0187336686819,13.0187336686819,9.6421617091951,10.2770194785364,5.56226692681056,6.55708490197119,0.080863,8.0863
50,60,0.524587539143622,0.524587539143622,0.516288744773147,0.517948503647242,0.495334288987699,0.501662119695186,0.006185,0.6185
150,60,0.0583020750915738,0.0583020802301871,0.05811282367995,0.0581349381570831,0.0578490385706607,0.05793391165375,0.000752,0.07519999999999999
2,90,314.835300893095,314.934360784566,38.7572373152007,59.9684189125389,11.3481830700144,21.654084953439,0.725741,72.5741
5,90,52.4498597376094,52.5786486037381,22.8483480474041,26.9462817045164,8.93664362709705,12.3058965630331,0.227687,22.7687
10,90,13.2992626268714,13.299429565887,9.89006462835623,10.5437122896111,5.72317987808191,6.75099442480057,0.091296,9.1296
50,90,0.533446421784875,0.533637527592875,0.526414381960082,0.528133726019743,0.505045693752105,0.511444684699256,0.006912,0.6911999999999999
150,90,0.0593638147559629,0.0593639894930315,0.0592331038088429,0.0592549820866663,0.0589558920771846,0.0590419591942184,0.000832,0.0832
2,10,114.165,114.165,32.9949,46.7251,10.6235,18.9221,0.726566,72.6566
5,10,30.2974,30.2974,18.6763,21.331,8.21772,11.3302,0.175362,17.536199999999997
10,10,10.4722,10.4722,8.44542,8.8982,5.1952,6.12025,0.0469602,4.69602
50,10,0.504457,0.504457,0.497559,0.499089,0.47699,0.482998,0.00502526,0.502526
150,10,0.0556598,0.0556598,0.055562,0.0555804,0.0552603,0.0553375,0.000619263,0.0619263
2,30,209.372,209.372,37.267,55.4041,10.7725,20.0077,0.556115,55.6115
5,30,46.2721,46.2721,21.572,25.5898,8.43783,12.0845,0.202048,20.2048
10,30,12.4501,12.4501,9.34276,9.96482,5.3939,6.46888,0.0815258,8.15258
50,30,0.495052,0.495062,0.489137,0.490714,0.469891,0.475778,0.00622924,0.6229239999999999
150,30,0.0536142,0.0536142,0.0535264,0.053545,0.0532614,0.0533371,0.000777359,0.0777359
2,60,277.121,277.121,37.5885,57.1417,10.819,20.4088,0.599436,59.943599999999996
5,60,49.5886,49.5886,21.9176,26.1936,8.49872,12.2456,0.245525,24.5525
10,60,12.5016,12.5016,9.38729,10.0189,5.43238,6.52133,0.0982486,9.824860000000001
50,60,0.493066,0.49309,0.485271,0.486773,0.466772,0.472547,0.00858632,0.858632
150,60,0.0547306,0.0547504,0.0543154,0.0543341,0.0540568,0.0541407,0.000976942,0.0976942
2,90,298.047,298.047,37.0335,56.8464,10.7435,20.3738,0.885536,88.5536
5,90,50.0504,50.0504,21.7308,26.0671,8.44464,12.1998,0.277237,27.7237
10,90,12.5572,12.5572,9.34886,9.99309,5.40244,6.49281,0.110609,11.0609
50,90,0.496833,0.497141,0.48495,0.486479,0.465991,0.471818,0.00907429,0.907429
150,90,0.0545242,0.0545513,0.0542265,0.0542474,0.0539785,0.0540548,0.00113622,0.113622
2,10,100.158,151.971,32.826,66.405,12.834,30.733,0.974,97.39999999999999
5,10,29.099,29.28,18.503,23.518,8.941,13.34,0.063,6.3
10,10,10.451,10.451,8.462,9.122,5.379,6.561,0.018,1.7999999999999998
50,10,0.526,0.526,0.518,0.52,0.497,0.503,0.002,0.2
2,30,203.652,203.652,39.909,63.311,11.906,22.666,0.313,31.3
5,30,47.052,47.052,21.986,26.567,8.781,12.671,0.205,20.5
10,30,12.861,12.861,9.585,10.263,5.553,6.679,0.086,8.6
50,30,0.053,0.532,0.524,0.526,0.502,0.509,0.006,0.6
2,60,277.775,277.775,38.614,59.465,11.352,21.333,0.649,64.9
5,60,51.444,51.444,22.213,26.714,8.687,12.513,0.311,31.1
10,60,13.198,13.198,9.714,10.394,5.565,6.687,0.116,11.600000000000001
50,60,0.533,0.533,0.525,0.527,0.503,0.509,0.007,0.7000000000000001
2,90,304.309,304.309,38.122,58.588,11.178,21.047,1.201,120.10000000000001
5,90,52.427,52.427,22.248,26.738,8.666,12.483,0.373,37.3
10,90,13.267,13.267,9.739,10.42,5.568,6.689,0.136,13.600000000000001
50,90,0.533,0.533,0.525,0.527,0.503,0.51,0.008,0.8
2,10,103.8042,103.8281,32.2649,45.4874,10.7475,19.0485,1.00171,100.171
5,10,30.1639,30.1648,18.524,21.2003,8.3258,11.4675,0.175809999999998,17.5809999999998
10,10,10.5364,10.5367,8.4487,8.916,5.2598,6.1898,0.0402100000000019,4.02100000000019
2,30,203.7518,203.8118,36.2084,54.255,10.6566,19.8514,0.800910000000002,80.09100000000021
5,30,45.9648,45.971,21.2795,25.3233,8.4107,12.0606,0.236509999999996,23.6509999999996
10,30,12.4808,12.4813,9.3231,9.9566,5.4105,6.4872,0.0872099999999989,8.72099999999989
2,60,272.4818,272.5301,36.5288,55.8434,10.7004,20.1932,0.623950000000001,62.3950000000001
5,60,49.9402,49.9424,21.6276,25.935,8.4341,12.1552,0.250950000000003,25.0950000000003
10,60,12.78,12.7814,9.4508,10.1074,5.4302,6.5248,0.102450000000005,10.2450000000005
